Date,GrandPrix,Position,Driver,FullName,BestLapTime,Tyre
2025-04-20,Saudi Arabian Grand Prix,6,SAI,Carlos Sainz,0 days 00:01:32.466000,HARD
2025-04-20,Saudi Arabian Grand Prix,7,HAM,Lewis Hamilton,0 days 00:01:32.600000,HARD
2025-04-20,Saudi Arabian Grand Prix,8,STR,Lance Stroll,0 days 00:01:32.745000,MEDIUM
2025-04-20,Saudi Arabian Grand Prix,9,RUS,George Russell,0 days 00:01:32.893000,HARD
2025-04-20,Saudi Arabian Grand Prix,10,LAW,Liam Lawson,0 days 00:01:32.998000,HARD
2025-04-20,Saudi Arabian Grand Prix,11,ALO,Fernando Alonso,0 days 00:01:33.009000,HARD
2025-04-20,Saudi Arabian Grand Prix,12,DOO,Jack Doohan,0 days 00:01:33.150000,HARD
2025-04-20,Saudi Arabian Grand Prix,13,BEA,Oliver Bearman,0 days 00:01:33.238000,HARD
2025-04-20,Saudi Arabian Grand Prix,14,HAD,Isack Hadjar,0 days 00:01:33.257000,MEDIUM
2025-04-20,Saudi Arabian Grand Prix,15,HUL,Nico Hulkenberg,0 days 00:01:33.446000,MEDIUM
2025-04-20,Saudi Arabian Grand Prix,16,ALB,Alexander Albon,0 days 00:01:33.477000,HARD
2025-04-20,Saudi Arabian Grand Prix,17,OCO,Esteban Ocon,0 days 00:01:34.309000,HARD
2025-04-20,Saudi Arabian Grand Prix,18,BOR,Gabriel Bortoleto,0 days 00:01:34.447000,HARD
2025-05-04,Miami Grand Prix,1,NOR,Lando Norris,0 days 00:01:29.746000,HARD
2025-05-04,Miami Grand Prix,2,PIA,Oscar Piastri,0 days 00:01:29.822000,HARD
2025-05-04,Miami Grand Prix,3,RUS,George Russell,0 days 00:01:30.318000,HARD
2025-05-04,Miami Grand Prix,4,LEC,Charles Leclerc,0 days 00:01:30.461000,HARD
2025-05-04,Miami Grand Prix,5,VER,Max Verstappen,0 days 00:01:30.466000,HARD
2025-05-04,Miami Grand Prix,6,ALB,Alexander Albon,0 days 00:01:30.482000,HARD
2025-05-04,Miami Grand Prix,7,HAM,Lewis Hamilton,0 days 00:01:30.562000,MEDIUM
2025-05-04,Miami Grand Prix,8,SAI,Carlos Sainz,0 days 00:01:30.703000,HARD
2025-05-04,Miami Grand Prix,9,ANT,Kimi Antonelli,0 days 00:01:30.795000,MEDIUM
2025-05-04,Miami Grand Prix,10,TSU,Yuki Tsunoda,0 days 00:01:30.964000,HARD
2025-05-04,Miami Grand Prix,11,HAD,Isack Hadjar,0 days 00:01:30.971000,HARD
2025-05-04,Miami Grand Prix,12,HUL,Nico Hulkenberg,0 days 00:01:31.015000,MEDIUM
2025-05-04,Miami Grand Prix,13,OCO,Esteban Ocon,0 days 00:01:31.122000,HARD
2025-05-04,Miami Grand Prix,14,GAS,Pierre Gasly,0 days 00:01:31.159000,MEDIUM
2025-05-04,Miami Grand Prix,15,ALO,Fernando Alonso,0 days 00:01:31.287000,MEDIUM
2025-05-04,Miami Grand Prix,16,STR,Lance Stroll,0 days 00:01:31.769000,HARD
2025-05-04,Miami Grand Prix,17,LAW,Liam Lawson,0 days 00:01:31.770000,HARD
2025-05-04,Miami Grand Prix,18,BOR,Gabriel Bortoleto,0 days 00:01:32.328000,HARD
2025-05-04,Miami Grand Prix,19,BEA,Oliver Bearman,0 days 00:01:32.680000,HARD
2025-05-18,Emilia Romagna Grand Prix,1,VER,Max Verstappen,0 days 00:01:17.988000,HARD
2025-05-18,Emilia Romagna Grand Prix,2,HAM,Lewis Hamilton,0 days 00:01:18.265000,HARD
2025-05-18,Emilia Romagna Grand Prix,3,ALB,Alexander Albon,0 days 00:01:18.289000,HARD
2025-05-18,Emilia Romagna Grand Prix,4,NOR,Lando Norris,0 days 00:01:18.311000,HARD
2025-05-18,Emilia Romagna Grand Prix,5,PIA,Oscar Piastri,0 days 00:01:18.894000,HARD
2025-05-18,Emilia Romagna Grand Prix,6,LEC,Charles Leclerc,0 days 00:01:19.048000,HARD
2025-05-18,Emilia Romagna Grand Prix,7,HAD,Isack Hadjar,0 days 00:01:19.473000,HARD
2025-05-18,Emilia Romagna Grand Prix,8,BEA,Oliver Bearman,0 days 00:01:19.521000,HARD
2025-05-18,Emilia Romagna Grand Prix,9,RUS,George Russell,0 days 00:01:19.733000,HARD
2025-05-18,Emilia Romagna Grand Prix,10,SAI,Carlos Sainz,0 days 00:01:19.836000,HARD
2025-05-18,Emilia Romagna Grand Prix,11,ALO,Fernando Alonso,0 days 00:01:19.894000,MEDIUM
2025-05-18,Emilia Romagna Grand Prix,12,TSU,Yuki Tsunoda,0 days 00:01:20.039000,MEDIUM
2025-05-18,Emilia Romagna Grand Prix,13,COL,Franco Colapinto,0 days 00:01:20.345000,HARD
2025-05-18,Emilia Romagna Grand Prix,14,GAS,Pierre Gasly,0 days 00:01:20.398000,HARD
2025-05-18,Emilia Romagna Grand Prix,15,HUL,Nico Hulkenberg,0 days 00:01:20.401000,MEDIUM
2025-05-18,Emilia Romagna Grand Prix,16,LAW,Liam Lawson,0 days 00:01:20.473000,HARD
2025-05-18,Emilia Romagna Grand Prix,17,STR,Lance Stroll,0 days 00:01:20.501000,MEDIUM
2025-05-18,Emilia Romagna Grand Prix,18,ANT,Kimi Antonelli,0 days 00:01:20.620000,MEDIUM
2025-05-18,Emilia Romagna Grand Prix,19,BOR,Gabriel Bortoleto,0 days 00:01:20.630000,MEDIUM
2025-05-18,Emilia Romagna Grand Prix,20,OCO,Esteban Ocon,0 days 00:01:21.413000,HARD
2025-05-25,Monaco Grand Prix,1,NOR,Lando Norris,0 days 00:01:13.221000,HARD
2025-05-25,Monaco Grand Prix,2,RUS,George Russell,0 days 00:01:13.405000,HARD
2025-05-25,Monaco Grand Prix,3,ANT,Kimi Antonelli,0 days 00:01:13.518000,HARD
2025-05-25,Monaco Grand Prix,4,PIA,Oscar Piastri,0 days 00:01:13.745000,HARD
2025-05-25,Monaco Grand Prix,5,SAI,Carlos Sainz,0 days 00:01:13.988000,MEDIUM
2025-05-25,Monaco Grand Prix,6,LEC,Charles Leclerc,0 days 00:01:14.055000,HARD
2025-05-25,Monaco Grand Prix,7,HAM,Lewis Hamilton,0 days 00:01:14.090000,MEDIUM
2025-05-25,Monaco Grand Prix,8,VER,Max Verstappen,0 days 00:01:14.230000,MEDIUM
2025-05-25,Monaco Grand Prix,9,ALB,Alexander Albon,0 days 00:01:14.597000,HARD
2025-05-25,Monaco Grand Prix,10,BEA,Oliver Bearman,0 days 00:01:14.855000,HARD
2025-05-25,Monaco Grand Prix,11,STR,Lance Stroll,0 days 00:01:14.877000,MEDIUM
2025-05-25,Monaco Grand Prix,12,BOR,Gabriel Bortoleto,0 days 00:01:14.884000,MEDIUM
2025-05-25,Monaco Grand Prix,13,TSU,Yuki Tsunoda,0 days 00:01:14.913000,MEDIUM
2025-05-25,Monaco Grand Prix,14,OCO,Esteban Ocon,0 days 00:01:15.157000,HARD
2025-05-25,Monaco Grand Prix,15,HUL,Nico Hulkenberg,0 days 00:01:15.223000,SOFT
2025-05-25,Monaco Grand Prix,16,COL,Franco Colapinto,0 days 00:01:15.298000,MEDIUM
2025-05-25,Monaco Grand Prix,17,LAW,Liam Lawson,0 days 00:01:15.321000,HARD
2025-05-25,Monaco Grand Prix,18,ALO,Fernando Alonso,0 days 00:01:15.593000,HARD
2025-05-25,Monaco Grand Prix,19,HAD,Isack Hadjar,0 days 00:01:15.981000,SOFT
2025-05-25,Monaco Grand Prix,20,GAS,Pierre Gasly,0 days 00:01:18.054000,MEDIUM
2025-06-01,Spanish Grand Prix,1,PIA,Oscar Piastri,0 days 00:01:15.743000,SOFT
2025-06-01,Spanish Grand Prix,2,NOR,Lando Norris,0 days 00:01:16.187000,SOFT
2025-06-01,Spanish Grand Prix,3,VER,Max Verstappen,0 days 00:01:17.019000,HARD
2025-06-01,Spanish Grand Prix,4,RUS,George Russell,0 days 00:01:17.244000,SOFT
2025-06-01,Spanish Grand Prix,5,LEC,Charles Leclerc,0 days 00:01:17.259000,SOFT
2025-06-01,Spanish Grand Prix,6,HUL,Nico Hulkenberg,0 days 00:01:17.575000,SOFT
2025-06-01,Spanish Grand Prix,7,HAM,Lewis Hamilton,0 days 00:01:17.706000,SOFT
2025-06-01,Spanish Grand Prix,8,HAD,Isack Hadjar,0 days 00:01:17.770000,SOFT
2025-06-01,Spanish Grand Prix,9,GAS,Pierre Gasly,0 days 00:01:17.896000,SOFT
2025-06-01,Spanish Grand Prix,10,TSU,Yuki Tsunoda,0 days 00:01:17.998000,SOFT
2025-06-01,Spanish Grand Prix,11,ALO,Fernando Alonso,0 days 00:01:18.128000,SOFT
2025-06-01,Spanish Grand Prix,12,ANT,Kimi Antonelli,0 days 00:01:18.255000,SOFT
2025-06-01,Spanish Grand Prix,13,BOR,Gabriel Bortoleto,0 days 00:01:18.297000,SOFT
2025-06-01,Spanish Grand Prix,14,COL,Franco Colapinto,0 days 00:01:18.353000,SOFT
2025-06-01,Spanish Grand Prix,15,OCO,Esteban Ocon,0 days 00:01:18.624000,MEDIUM
2025-06-01,Spanish Grand Prix,16,BEA,Oliver Bearman,0 days 00:01:18.907000,SOFT
2025-06-01,Spanish Grand Prix,17,SAI,Carlos Sainz,0 days 00:01:19.317000,SOFT
2025-06-01,Spanish Grand Prix,18,LAW,Liam Lawson,0 days 00:01:19.424000,SOFT
2025-06-01,Spanish Grand Prix,19,ALB,Alexander Albon,0 days 00:01:20.508000,SOFT
2025-06-15,Canadian Grand Prix,1,RUS,George Russell,0 days 00:01:14.119000,HARD
2025-06-15,Canadian Grand Prix,2,NOR,Lando Norris,0 days 00:01:14.229000,HARD
2025-06-15,Canadian Grand Prix,3,PIA,Oscar Piastri,0 days 00:01:14.255000,HARD
2025-06-15,Canadian Grand Prix,4,LEC,Charles Leclerc,0 days 00:01:14.261000,MEDIUM
2025-06-15,Canadian Grand Prix,5,VER,Max Verstappen,0 days 00:01:14.287000,HARD
2025-06-15,Canadian Grand Prix,6,SAI,Carlos Sainz,0 days 00:01:14.389000,MEDIUM
2025-06-15,Canadian Grand Prix,7,ANT,Kimi Antonelli,0 days 00:01:14.455000,HARD
2025-06-15,Canadian Grand Prix,8,OCO,Esteban Ocon,0 days 00:01:14.593000,MEDIUM
2025-06-15,Canadian Grand Prix,9,HAM,Lewis Hamilton,0 days 00:01:14.805000,HARD
2025-06-15,Canadian Grand Prix,10,STR,Lance Stroll,0 days 00:01:14.902000,MEDIUM
2025-06-15,Canadian Grand Prix,11,GAS,Pierre Gasly,0 days 00:01:14.993000,MEDIUM
2025-06-15,Canadian Grand Prix,12,ALO,Fernando Alonso,0 days 00:01:15.024000,HARD
2025-06-15,Canadian Grand Prix,13,TSU,Yuki Tsunoda,0 days 00:01:15.358000,MEDIUM
2025-06-15,Canadian Grand Prix,14,HUL,Nico Hulkenberg,0 days 00:01:15.372000,HARD
2025-06-15,Canadian Grand Prix,15,BEA,Oliver Bearman,0 days 00:01:15.397000,HARD
2025-06-15,Canadian Grand Prix,16,BOR,Gabriel Bortoleto,0 days 00:01:15.414000,MEDIUM
2025-06-15,Canadian Grand Prix,17,COL,Franco Colapinto,0 days 00:01:16.076000,HARD
2025-06-15,Canadian Grand Prix,18,ALB,Alexander Albon,0 days 00:01:16.197000,HARD
2025-06-15,Canadian Grand Prix,19,HAD,Isack Hadjar,0 days 00:01:16.292000,HARD
2025-06-15,Canadian Grand Prix,20,LAW,Liam Lawson,0 days 00:01:16.320000,MEDIUM
2025-06-29,Austrian Grand Prix,1,PIA,Oscar Piastri,0 days 00:01:07.924000,MEDIUM
2025-06-29,Austrian Grand Prix,2,NOR,Lando Norris,0 days 00:01:08.272000,MEDIUM
